Date,Adj Close,Close,High,Low,Open,Volume,return,log_return
2007-01-03,53.621,91.930,92.510,91.510,91.600,1753900,,
2007-01-04,53.481,91.690,92.230,91.080,92.050,1942900,-0.261,-0.003
2007-01-05,53.673,92.020,92.570,91.370,91.690,1954600,0.360,0.004
2007-01-08,54.647,93.690,94.200,91.540,91.550,2002400,1.815,0.018
2007-01-09,54.595,93.600,94.670,93.250,94.030,1501600,-0.096,-0.001
2007-01-10,55.166,94.580,94.850,92.860,93.300,1305100,1.047,0.010
2007-01-11,55.796,95.660,95.760,94.120,94.550,1949700,1.142,0.011
2007-01-12,56.175,96.310,96.680,95.320,95.410,1760500,0.679,0.007
2007-01-16,56.578,97.000,97.480,96.030,96.050,1551800,0.716,0.007
2007-01-17,56.286,96.500,97.420,96.070,97.250,2229900,-0.515,-0.005
2007-01-18,56.461,96.800,97.380,96.120,96.120,1562600,0.311,0.003
2007-01-19,56.735,97.270,97.750,96.290,96.970,1578400,0.486,0.005
2007-01-22,56.444,96.770,97.290,95.600,97.280,3031700,-0.514,-0.005
2007-01-23,57.593,98.740,98.750,96.500,96.700,3159400,2.036,0.020
2007-01-24,56.660,97.140,98.210,96.500,98.200,3100300,-1.620,-0.016
2007-01-25,56.835,97.440,98.750,97.440,98.500,2715700,0.309,0.003
2007-01-26,56.385,96.670,98.750,96.210,98.750,2306300,-0.790,-0.008
2007-01-29,56.030,96.060,96.620,95.950,96.330,3140600,-0.631,-0.006
2007-01-30,56.135,96.240,96.360,95.820,96.000,1851000,0.187,0.002
2007-01-31,56.689,97.190,97.300,96.160,96.200,1893500,0.987,0.010
2007-02-01,57.429,98.460,98.530,96.720,96.900,2281900,1.307,0.013
2007-02-02,57.429,98.460,99.000,97.580,97.850,2322000,0.000,0.000
2007-02-05,57.791,99.080,99.380,97.860,98.000,1763800,0.630,0.006
2007-02-06,59.080,101.290,101.320,99.190,99.390,3627000,2.231,0.022
2007-02-07,59.214,101.520,101.840,100.670,100.920,2205500,0.227,0.002
2007-02-08,58.841,100.880,101.780,100.660,101.520,1300000,-0.630,-0.006
2007-02-09,59.004,101.160,101.590,100.720,100.760,1075700,0.278,0.003
2007-02-12,59.278,101.630,101.930,101.130,101.160,1690800,0.465,0.005
2007-02-13,59.646,102.260,102.610,101.520,101.640,1632200,0.620,0.006
2007-02-14,59.681,102.320,102.810,102.000,102.380,1010100,0.059,0.001
2007-02-15,60.276,103.340,103.460,102.040,102.140,1233800,0.997,0.010
2007-02-16,59.465,101.950,103.260,101.580,102.660,1854700,-1.345,-0.014
2007-02-20,59.955,102.790,102.790,101.450,101.700,2235300,0.824,0.008
2007-02-21,59.815,102.550,103.420,102.270,102.760,1242900,-0.233,-0.002
2007-02-22,59.232,101.550,103.500,101.120,103.240,3377500,-0.975,-0.010
2007-02-23,59.558,102.110,102.320,101.130,101.590,1630900,0.551,0.005
2007-02-26,59.185,101.470,102.340,101.000,102.070,1383700,-0.627,-0.006
2007-02-27,57.107,97.570,101.340,96.330,101.160,2717300,-3.511,-0.036
2007-02-28,56.926,97.260,98.840,95.840,96.750,3070100,-0.318,-0.003
