Date,Adj Close,Close,High,Low,Open,Volume,return,log_return
2007-01-03,3.801,3.801,3.824,3.677,3.714,16440900,,
2007-01-04,3.621,3.621,3.829,3.586,3.773,15959300,-4.735,-0.049
2007-01-05,3.544,3.544,3.620,3.493,3.620,15190700,-2.130,-0.022
2007-01-08,3.404,3.404,3.556,3.367,3.546,18344900,-3.950,-0.040
2007-01-09,3.427,3.427,3.440,3.360,3.427,10611300,0.671,0.007
2007-01-10,3.439,3.439,3.464,3.411,3.424,11448500,0.333,0.003
2007-01-11,3.463,3.463,3.507,3.411,3.423,9130100,0.706,0.007
2007-01-12,3.244,3.244,3.411,3.241,3.409,22171100,-6.312,-0.065
2007-01-16,3.249,3.249,3.486,3.243,3.464,30134300,0.132,0.001
2007-01-17,3.261,3.261,3.293,3.234,3.260,15204000,0.396,0.004
2007-01-18,3.179,3.179,3.283,3.167,3.251,11298700,-2.541,-0.026
2007-01-19,3.223,3.223,3.260,3.171,3.174,12152000,1.393,0.014
2007-01-22,3.129,3.129,3.281,3.114,3.264,18595500,-2.926,-0.030
2007-01-23,3.109,3.109,3.190,3.100,3.114,20239100,-0.639,-0.006
2007-01-24,3.250,3.250,3.286,3.043,3.129,44220400,4.550,0.044
2007-01-25,3.321,3.321,3.464,3.246,3.416,64389500,2.198,0.022
2007-01-26,3.307,3.307,3.371,3.250,3.366,13869800,-0.430,-0.004
2007-01-29,3.221,3.221,3.251,3.151,3.180,21761600,-2.592,-0.026
2007-01-30,3.276,3.276,3.280,3.221,3.234,8789200,1.685,0.017
2007-01-31,3.259,3.259,3.304,3.243,3.254,10256400,-0.523,-0.005
2007-02-01,3.247,3.247,3.300,3.236,3.269,7888300,-0.351,-0.004
2007-02-02,3.263,3.263,3.297,3.243,3.250,9864400,0.484,0.005
2007-02-05,3.229,3.229,3.286,3.220,3.286,5572700,-1.051,-0.011
2007-02-06,3.189,3.189,3.239,3.166,3.214,15805300,-1.239,-0.012
2007-02-07,3.271,3.271,3.294,3.176,3.179,11223800,2.599,0.026
2007-02-08,3.393,3.393,3.404,3.301,3.354,19541900,3.712,0.036
2007-02-09,3.301,3.301,3.397,3.297,3.397,7865200,-2.695,-0.027
2007-02-12,3.304,3.304,3.353,3.284,3.290,7119700,0.087,0.001
2007-02-13,3.271,3.271,3.321,3.261,3.319,4841900,-0.994,-0.010
2007-02-14,3.229,3.229,3.313,3.171,3.271,36174600,-1.310,-0.013
2007-02-15,3.214,3.214,3.243,3.201,3.211,8286600,-0.442,-0.004
2007-02-16,3.267,3.267,3.273,3.197,3.217,10532900,1.644,0.016
2007-02-20,3.359,3.359,3.371,3.276,3.279,12290600,2.798,0.028
2007-02-21,3.341,3.341,3.366,3.317,3.360,64801800,-0.510,-0.005
2007-02-22,3.393,3.393,3.411,3.346,3.346,8782900,1.539,0.015
2007-02-23,3.361,3.361,3.407,3.357,3.394,8375500,-0.926,-0.009
2007-02-26,3.304,3.304,3.403,3.071,3.387,6216700,-1.700,-0.017
2007-02-27,3.157,3.157,3.264,3.157,3.253,12520200,-4.453,-0.046
2007-02-28,3.219,3.219,3.273,3.156,3.159,8883000,1.946,0.019
2007-03-01,3.261,3.261,3.291,3.157,3.194,12429200,1.332,0.013
2007-03-02,3.184,3.184,3.286,3.181,3.261,8073100,-2.365,-0.024
2007-03-05,3.009,3.009,3.166,3.007,3.144,17101000,-5.518,-0.057
2007-03-06,3.063,3.063,3.130,2.987,3.036,14133000,1.804,0.018
2007-03-07,3.026,3.026,3.086,3.010,3.071,8599500,-1.213,-0.012
2007-03-08,3.034,3.034,3.090,3.030,3.030,6320300,0.283,0.003
2007-03-09,3.009,3.009,3.071,2.981,3.071,6686400,-0.847,-0.009
2007-03-12,3.011,3.011,3.030,2.957,3.000,6709500,0.095,0.001
2007-03-13,2.936,2.936,3.023,2.929,3.000,9384200,-2.514,-0.025
2007-03-14,3.016,3.016,3.021,2.900,2.930,8215900,2.725,0.027
2007-03-15,3.023,3.023,3.050,2.984,3.024,6435800,0.237,0.002
2007-03-16,3.003,3.003,3.031,2.967,3.021,6666100,-0.662,-0.007
2007-03-19,3.051,3.051,3.071,3.011,3.016,5712000,1.618,0.016
2007-03-20,3.211,3.211,3.256,3.049,3.053,15969100,5.243,0.051
2007-03-21,3.293,3.293,3.330,3.169,3.221,15977500,2.536,0.025
2007-03-22,3.300,3.300,3.323,3.259,3.286,5699400,0.217,0.002
2007-03-23,3.390,3.390,3.397,3.276,3.286,10215800,2.727,0.027
2007-03-26,3.323,3.323,3.400,3.281,3.393,7420700,-1.981,-0.020
