Date,Adj Close,Close,High,Low,Open,Volume,return,log_return
2007-01-03,39.330,74.110,76.270,73.510,76.260,30510700,,
2007-01-04,38.593,72.720,73.900,72.210,73.850,31046600,-1.876,-0.019
2007-01-05,38.868,73.240,73.380,72.220,72.450,24671500,0.715,0.007
2007-01-08,38.555,72.650,74.250,71.850,73.880,25981900,-0.806,-0.008
2007-01-09,38.258,72.090,72.840,71.440,71.850,27039900,-0.771,-0.008
2007-01-10,37.674,70.990,73.110,70.640,71.810,30572000,-1.526,-0.015
2007-01-11,37.669,70.980,72.850,70.770,70.990,29161700,-0.014,-0.000
2007-01-12,38.561,72.660,72.710,71.200,71.210,24438700,2.367,0.023
2007-01-16,38.014,71.630,72.650,71.250,72.500,25444400,-1.418,-0.014
2007-01-17,38.455,72.460,72.620,71.410,71.490,31292200,1.159,0.012
2007-01-18,38.189,71.960,73.130,71.190,72.670,23581900,-0.690,-0.007
2007-01-19,39.022,73.530,73.630,72.200,72.500,23912600,2.182,0.022
2007-01-22,38.688,72.900,73.750,72.500,73.650,21929300,-0.857,-0.009
2007-01-23,39.532,74.490,74.910,73.470,73.550,29016600,2.181,0.022
2007-01-24,39.749,74.900,74.990,73.750,74.500,19785400,0.550,0.005
2007-01-25,39.017,73.520,74.940,73.360,74.620,22630100,-1.842,-0.019
2007-01-26,39.065,73.610,74.490,73.450,73.890,20506200,0.122,0.001
2007-01-29,38.847,73.200,74.090,72.800,73.650,17370600,-0.557,-0.006
2007-01-30,39.479,74.390,74.590,73.330,73.450,21590500,1.626,0.016
2007-01-31,39.325,74.100,74.720,73.480,74.390,24249200,-0.390,-0.004
2007-02-01,39.845,75.080,75.280,73.810,74.580,25168000,1.323,0.013
2007-02-02,40.089,75.540,75.790,74.450,75.000,24299300,0.613,0.006
2007-02-05,40.158,75.670,75.880,75.060,75.650,18168800,0.172,0.002
2007-02-06,40.047,75.460,75.970,75.040,75.860,16222300,-0.278,-0.003
2007-02-07,39.860,74.790,75.880,74.530,75.400,18134700,-0.466,-0.005
2007-02-08,40.217,75.460,75.630,74.240,74.280,18742000,0.896,0.009
